state_id,state_abbr,county_name,latitude,longitude,population,doe_climate_zone,Residential Electricity  consumption (MWh),Residential Natural Gas  consumption (Mcf),Residential Electricity  utility customers,Residential Natural Gas  utility customers,Commercial Electricity  consumption (MWh),Commercial Electricity  consumption (MWh),Commercial Natural Gas  consumption (Mcf),Commercial Natural Gas  consumption (Mcf),Commercial Electricity  utility customers,Commercial Natural Gas  utility customers,Industry Electricity  consumption (MWh),Industry Natural Gas  consumption (Mcf),On Road Transportation Gasoline  consumption (gallons),On Road Transportation Diesel  consumption (gallons),Residential Electricity  GHG emissions mtons CO2e,Commercial Electricity  GHG emissions mtons CO2e,Industry Electricity  GHG emissions mtons CO2e,On-road Transportation Gasoline  GHG emissions mtons CO2e,On-road Transportation Diesel  GHG emissions mtons CO2e
8,CO,Clear Creek County,39.689403,-105.670783,9238,7,38305.676268139105,260307.47589346298,5659.27149953896,3117.45174109043,40461.7672925718,40656.4031647999,64908.7012187417,74125.683196695,1131.52699365233,443.125364903265,119606.472219227,114646.13999214633,24045699,12620499,23921.66981424934,25268.135993697662,74693.53930856816,259585.09347923042,159715.1509691832
8,CO,Conejos County,37.213406,-106.176447,8213,6,26528.479314066,170400.62528909798,4275.34049197732,1383.65332200063,10555.2677430248,10699.3369915897,30075.8377039597,34470.073165664304,456.700653904924,141.218981828501,19970.900201948967,2544.5548810509335,3257990,1345351,16566.87949804103,6591.702701765213,12471.709863055165,35171.59716190401,17025.708577096797
8,CO,Costilla County,37.277547,-105.42894,3590,6,13200.7103811977,51585.2538837173,2677.19410550373,122.158204194736,4681.512320285679,4783.49499326507,16722.6127582093,19165.8729831706,248.79960996313,97.4156391086325,8326.935152570743,173.680596191175,4191705,1764383,8243.766089445044,2923.576943878735,5200.122088697956,45251.507733768005,22328.6493832344
8,CO,Crowley County,38.30618,-103.772736,5537,5,11406.9268128535,61819.0059226015,1553.31061207817,792.214097302636,6463.15265232969,4757.790144755129,0,0,213.636591714614,0,8879.93437265706,0,1393059,597792,7123.558788057528,4036.2008655285813,5545.466853213843,15038.753946686402,7565.1873613056
8,CO,Custer County,38.101994,-105.373515,4375,6,17401.8893153706,49053.0715423335,4229.50836541248,79.8261532361647,7715.63982180321,7662.36812719523,3798.7097070515397,4079.8892656962403,453.292440523105,26.2991567453804,15220.160412390855,3449.6892006289736,2071135,814997,10867.377655270726,4818.371745504664,9504.900771271796,22358.916352696004,10313.963726349599
8,CO,Delta County,38.861756,-107.864757,30221,5,106590.472360734,718093.736484334,14447.0839336822,7774.58353033434,45096.174244521295,53103.9952470867,223923.266323255,254662.177857813,2147.41785720195,804.720600592919,116440.10517445595,129533.57872891934,10289569,3740690,66565.12385552564,28162.295911756806,72716.16168898194,111080.93512798242,47339.242931591994
8,CO,Denver County,39.76185,-104.881105,663303,5,1877509.22760905,14606880.18073,298245.600726935,230993.907209226,3873848.89706652,4180770.72806893,9860621.31363535,11301309.0935508,51804.8502936929,20603.9947458483,2158682.550555835,18103627.912070323,276305944,56136244,1172493.483777147,2419195.880454851,1348084.5722890806,2982857.944870183,710416.3381576991
8,CO,Dolores County,37.747602,-108.530383,1789,6,5631.91087322023,24483.1093272776,1373.96749962398,275.763074815841,7340.73647327039,3266.56663134045,19675.3472374291,11721.332158164101,170.410691755568,66.7157269787671,27682.95781963439,675.1482623448986,1892568,895126,3517.0952573551826,4584.246806603168,17287.844543130854,20431.198161292803,11328.013593316799
8,CO,Douglas County,39.325414,-104.925987,314238,5,1126010.37428192,8493458.88567072,117746.723111358,118319.127785446,1030054.69000699,938681.524902924,2491448.00074163,2702863.392842,15046.7974223266,8123.96160262399,498048.86900399136,1716656.4261687598,128611486,45458674,703186.8643289185,643263.1031621053,311028.59305432637,1388423.9595535458,575289.3749105232
8,CO,Eagle County,39.626992,-106.695169,52894,6,152787.72222541698,1376047.4681430198,31439.8436946613,13462.8016944272,249530.699918305,221548.78597967402,549374.099314933,629342.3557251281,4219.53371387799,1458.84344478928,78448.29483396445,653579.9692155531,37699795,16319219,95415.03502413501,155830.45630574404,48990.49930283729,406987.74484463205,206523.25445167918
